Прибор: ;РОСА К-2 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 17:28:12;21.69;732.3;39.14;-7.94;17604;0;0;4859.19;6242;604.31;310;6446;18370;5682;
2023-02-21 17:29:09;21.66;732.31;39.01;-8.06;17601;0;0;4835.18;6176;598.74;288;6367;18125;5583;
2023-02-21 17:30:10;21.68;732.32;39.05;-8.06;17591;0;0;4809.66;6114;593.24;268;6289;17889;5486;
2023-02-21 17:31:08;21.61;732.34;38.98;-8.31;17604;0;0;4780.25;6058;588.11;252;6213;17659;5389;
2023-02-21 17:32:06;21.63;732.34;39.21;-8.13;17594;0;0;4753.18;5998;582.85;235;6137;17428;5293;
2023-02-21 17:33:03;21.6;732.34;39.09;-8.13;17556;0;0;4730.45;5935;577.38;219;6062;17198;5202;
2023-02-21 17:34:00;21.6;732.35;39.23;-8.19;17586;0;0;4704.02;5880;572.58;199;5992;16984;5113;
2023-02-21 17:34:58;21.57;732.35;39.52;-8.44;17597;0;0;4680.98;5810;566.51;182;5911;16737;5017;
2023-02-21 17:35:55;21.54;732.4;39.64;-8.44;17598;0;0;4638.06;21597;565.19;949;21972;61975;18406;
2023-02-21 17:36:53;21.55;732.42;39.55;-8.5;17580;0;0;4610.41;21418;560.88;879;21732;61248;18098;
2023-02-21 17:37:50;21.53;732.42;39.57;106.06;17603;0;0;4585.81;21187;555.75;797;21464;60417;17766;
2023-02-21 17:38:47;21.54;732.44;40.07;-8.75;17600;0;0;4560.07;20996;551.6;737;21233;59692;17464;
2023-02-21 17:39:45;21.53;732.45;39.92;-8.63;17606;0;0;4535.31;20839;547.74;676;21022;59059;17198;
2023-02-21 17:40:42;21.51;732.47;40.01;-8.56;17590;0;0;4506.65;20681;544.04;643;20807;58399;16912;
2023-02-21 17:41:40;21.51;732.51;40.21;-8.94;17592;0;0;4480.28;20506;540.02;592;20585;57717;16627;
2023-02-21 17:42:38;21.46;732.51;40.41;-8.69;17605;0;0;4454.31;20405;537.39;531;20423;57234;16406;
2023-02-21 17:43:35;21.43;732.54;40.48;-8.88;17596;0;0;4430.77;20266;534.33;479;20246;56680;16169;
2023-02-21 17:44:33;21.41;732.54;40.38;-8.75;17584;0;0;4407.56;20091;529.83;431;20020;56018;15907;
2023-02-21 17:45:31;21.43;732.54;40.71;-8.94;17599;0;0;4385.3;19921;526.19;393;19824;55401;15656;
2023-02-21 17:46:28;21.4;732.57;40.75;-8.88;17596;0;0;4363.5;19803;523.43;342;19667;54920;15450;
2023-02-21 17:47:26;21.4;732.6;40.74;-9.06;17603;0;0;4342.57;19653;519.7;305;19477;54355;15225;
2023-02-21 17:48:23;21.34;732.6;40.64;-8.94;17590;0;0;4321.98;19548;517.63;260;19347;53932;15038;
2023-02-21 17:49:21;21.36;732.6;40.98;-9;17602;0;0;4303.13;19439;515.21;219;19210;53507;14858;
2023-02-21 17:50:19;21.35;732.62;40.75;-9.13;17597;0;0;4282.62;19345;512.69;180;19070;53097;14682;
2023-02-21 17:51:16;21.31;732.63;40.92;-9.13;17598;0;0;4271.62;19034;504.68;155;18746;52170;14391;
2023-02-21 17:52:14;21.34;732.63;41.24;-9.44;17598;0;0;4247.85;19083;506.81;100;18766;52157;14309;
2023-02-21 17:53:11;21.27;732.63;40.85;-9.13;17587;0;0;4210.79;19296;511.99;65;18878;52455;14281;
2023-02-21 17:54:09;21.29;732.64;40.32;-9.25;17591;0;0;4182.96;19461;516.73;21;18987;52708;14261;
2023-02-21 17:55:09;21.27;732.65;40.31;-9.38;17586;0;0;4169.21;19364;514.38;0;18868;52366;14120;
2023-02-21 17:56:07;21.28;732.65;40.13;-9.13;17582;0;0;4155.64;19273;511.93;0;18748;52077;13985;
2023-02-21 17:57:04;21.27;732.65;40.05;-9.19;17587;0;0;4127.43;19487;517.04;0;18875;52473;13996;
2023-02-21 17:58:03;21.19;732.69;39.98;-9.25;17591;0;0;7556.35;1857;8.07;1048;2041;6903;3005;
2023-02-21 17:59:01;21.15;732.71;39.83;-9.31;17601;0;0;7544.9;1645;7.06;952;1795;6097;2657;
